,record,precinct,ballot_style,rank1,rank2,rank3,rank4,rank5,does_not_rank_any_continuing_candidate,highest_continuing_rank,rank_choice_in_continuing_candidate_set,overvote,two_consecutive_skipped_rankings,exhausted,highest_ranked_continuing_candidate
58434,117685,Newport,CAN Ballot Style 100,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
58842,118529,Newport,CAN Ballot Style 100,undervote,"DEM Golden, Jared F.","Hoar, William R.S.","REP Poliquin, Bruce",undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
60275,121351,Millinocket,CAN Ballot Style 118,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
61768,124303,Lisbon,CAN Ballot Style 178,undervote,"Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote,False,2,False,False,False,False,"Bond, Tiffany L."
62050,124912,Lisbon,CAN Ballot Style 178,undervote,"REP Poliquin, Bruce","DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",False,2,False,False,False,False,"REP Poliquin, Bruce"
62593,126019,Lisbon,CAN Ballot Style 178,undervote,"Bond, Tiffany L.","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce",False,2,False,False,False,False,"Bond, Tiffany L."
63167,127171,Lisbon,CAN Ballot Style 178,undervote,"DEM Golden, Jared F.",undervote,undervote,"REP Poliquin, Bruce",False,2,False,False,False,False,"DEM Golden, Jared F."
63183,127196,Lisbon,CAN Ballot Style 178,undervote,"REP Poliquin, Bruce","Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F.",False,2,False,False,False,False,"REP Poliquin, Bruce"
65063,130933,Lisbon,CAN Ballot Style 178,undervote,"Hoar, William R.S.","DEM Golden, Jared F.","Bond, Tiffany L.","REP Poliquin, Bruce",False,2,False,False,False,False,"Hoar, William R.S."
65385,131637,Lisbon,CAN Ballot Style 178,undervote,"REP Poliquin, Bruce","DEM Golden, Jared F.",undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
65846,132548,Lisbon,CAN Ballot Style 178,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
65905,132664,Lisbon,CAN Ballot Style 178,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
66131,133101,Lisbon,CAN Ballot Style 178,undervote,"Hoar, William R.S.",undervote,undervote,undervote,False,2,False,False,False,False,"Hoar, William R.S."
66376,133587,Gardiner,CAN Ballot Style 135,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
66732,134260,Gardiner,CAN Ballot Style 135,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
67089,134973,Sidney,CAN Ballot Style 205,undervote,"DEM Golden, Jared F.",undervote,undervote,"REP Poliquin, Bruce",False,2,False,False,False,False,"DEM Golden, Jared F."
68452,137712,Sidney,CAN Ballot Style 205,undervote,"Hoar, William R.S.","Hoar, William R.S.","Bond, Tiffany L.",undervote,False,2,False,False,False,False,"Hoar, William R.S."
68693,138179,Sidney,CAN Ballot Style 205,undervote,"Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F.",undervote,False,2,False,False,False,False,"Bond, Tiffany L."
70938,142697,West Gardiner,CAN Ballot Style 287,undervote,"Hoar, William R.S.",undervote,undervote,undervote,False,2,False,False,False,False,"Hoar, William R.S."
72561,145967,West Gardiner,CAN Ballot Style 287,undervote,"REP Poliquin, Bruce","DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",False,2,False,False,False,False,"REP Poliquin, Bruce"
75079,150991,Benton W1,CAN Ballot Style 5,undervote,"REP Poliquin, Bruce","DEM Golden, Jared F.",undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
75188,151214,Benton W1,CAN Ballot Style 5,undervote,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",False,2,False,False,False,False,"DEM Golden, Jared F."
75247,151330,Benton W1,CAN Ballot Style 5,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
75334,151522,Benton W1,CAN Ballot Style 5,undervote,"REP Poliquin, Bruce","DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",False,2,False,False,False,False,"REP Poliquin, Bruce"
75568,151951,Benton W1,CAN Ballot Style 5,undervote,"DEM Golden, Jared F.","Bond, Tiffany L.","REP Poliquin, Bruce",undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
75721,152256,Benton W1,CAN Ballot Style 5,undervote,"REP Poliquin, Bruce",undervote,"REP Poliquin, Bruce",undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
76390,153599,Lee,CAN Ballot Style 84,undervote,"DEM Golden, Jared F.","Hoar, William R.S.",undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
76701,154230,Lee,CAN Ballot Style 84,undervote,"REP Poliquin, Bruce","Bond, Tiffany L.",undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
77314,155441,Lincoln,CAN Ballot Style 177,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
